d13C,d15N
-22.972,5.02
-23.052,5.13
-22.78,5.47
-22.932,4.56
-22.652,4.62
-22.728,4.27
-22.844,4.02
-22.93,4.47
-22.966,4.24
-22.764,4.06
-22.822,5.44
-23.112,4.73
-23.102,4.76
-23.282,4.65
-23.072,5.83
-23.152,5.23
-22.218,4.36
-22.386,4.18
-23.55,4.37
-22.656,3.7
-23.162,5.21
-22.972,5.64
-23.12,5.04
-23.368,5.9
-23.464,5.85
-23.33,6.36
-23.168,5.92
-23.104,6.56
-23.412,6.31
-23.16,5.8
-23.258,5.98
-22.586,5.53
-22.704,5.36
-23.172,5.76
-22.62,6.46
-23.022,5.84
-23.2,5.14
-22.942,5.72
-22.556,4.76
-22.676,4.79
-22.762,5.68
-23.222,5.05
-22.992,5.75
-22.516,4.78
-23.062,4.27
-23.208,4.71
-22.872,5.66
-22.952,5.69
-23.252,4.6
-22.846,4.41
-23.246,4.59
-23.052,4.67
-23.262,4.71
-22.762,5.4
-22.772,5.49
-22.91,4.03
-22.874,4.66
-23.276,4.8
-23.224,5
-22.89,4.68
-23.188,4.74
-22.81,5.21
-22.896,4.51
-22.95,4.36
-22.912,4.8
-22.968,4.33
-23.212,4.15
-23.38,4.4
-22.79,5.72
-22.96,5.57
-22.69,5.49
-22.366,4.47
-22.676,5.1
-22.882,5.07
-22.798,4.75
-22.764,4.45
-22.87,4.47
-22.904,4.75
-22.748,3.81
-23.404,3.93
-23.27,3.59
-22.94,4.65
-22.78,4.93
-23.08,4.79
-23.02,4.64
-23.11,4.4
-23.25,5.34
-21.95,5.64
-23.04,4.88
-22.98,4.86
-23.028,4.12
-22.676,3.7
-23.048,4.38
-23.066,4.54
-23.284,4.98
-23.348,4.99
-23.058,5.06
-22.988,4.91
-22.888,5.19
-22.938,3.9
-23.134,3.92
-22.852,3.95
-22.838,4.3
-22.974,4.45
-23.202,4.94
-23.378,4.75
-22.968,5.24
-23.032,4.37
-22.878,5.19
-22.868,5.4
-23.142,4.71
-23.26,5.16
-23.478,5.09
-22.978,4.69
-23.038,4.72
-22.938,5.1
-23.098,4.67
-22.968,4.72
-23.294,4.22
-23.902,4.21
-23.46,4.66
-22.746,4.77
-23.07,4.5
-23.186,4.69
-23.228,4.73
-23.512,4.81
-23.632,4.9
-23.37,4.58
-23.258,4.59
-23.178,4.46
-23.012,3.95
-23.148,4.42
-23.072,4.49
-23.038,4.7
-22.438,4.6
-23.048,4.41
-22.798,5.07
-22.506,5.02
-22.758,4.37
-22.866,5.26
-23.564,4.63
-22.664,4.65
-22.772,4.81
-22.96,4.34
-22.754,4.3
-23.226,5.26
-23.516,5.96
-23.624,4.61
-23.016,4.6
-22.784,4.86
-22.798,5.77
-23.018,4.94
-23.254,5.17
-23.314,4.15
-23.168,5.35
-23.226,4.44
-23.354,5.22
-23.062,3.64
-22.954,3.82
-22.866,4.01
-22.762,3.49
-23.456,5.28
-23.076,5.1
-23.106,5.52
-23.182,4.14
-22.618,4.67
-22.29,4.62
-22.956,4.2
-22.966,4.8
-22.956,4.79
-22.846,4.99
-23.126,4.65
-22.926,4.7
-22.966,4.82
-23.126,4.62
-22.516,4.82
-22.616,4.27
-22.886,5
-23.066,4.86
-22.916,4.89
-22.916,5.34
-22.616,5.11
-22.866,5.51
-22.796,5.54
-23.106,5.27
-23.136,4.97
-23.364,5.15
-22.812,4.55
-22.806,4.43
-23.162,4.81
-22.592,3.95
-22.536,4.25
-22.67,4.4
-23.106,4.71
-23.404,4.61
-23.054,4.9
-23.614,4.85
-23.104,4.83
-23.124,4.37
-22.964,4.76
-22.918,5.04
-23.474,4.5
-23.504,4.36
-22.81,4.85
-23.254,4.56
-23.504,4.93
-23.454,4.64
