bID,d13C,d15N
b1,-22.972,5.02
b2,-23.052,5.13
b2,-22.78,5.47
b3,-22.932,4.56
b4,-22.652,4.62
b4,-22.728,4.27
b4,-22.844,4.02
b4,-22.93,4.47
b4,-22.966,4.24
b4,-22.764,4.06
b5,-22.822,5.44
b6,-23.112,4.73
b7,-23.102,4.76
b8,-23.282,4.65
b9,-23.072,5.83
b10,-23.152,5.23
b10,-22.218,4.36
b10,-22.386,4.18
b10,-23.55,4.37
b10,-22.656,3.7
b11,-23.162,5.21
b12,-22.972,5.64
b12,-23.12,5.04
b12,-23.368,5.9
b12,-23.464,5.85
b12,-23.33,6.36
b12,-23.168,5.92
b12,-23.104,6.56
b13,-23.412,6.31
b13,-23.16,5.8
b13,-23.258,5.98
b13,-22.586,5.53
b13,-22.704,5.36
b13,-23.172,5.76
b13,-22.62,6.46
b14,-23.022,5.84
b14,-23.2,5.14
b15,-22.942,5.72
b15,-22.556,4.76
b15,-22.676,4.79
b16,-22.762,5.68
b17,-23.222,5.05
b18,-22.992,5.75
b18,-22.516,4.78
b18,-23.062,4.27
b18,-23.208,4.71
b19,-22.872,5.66
b20,-22.952,5.69
b21,-23.252,4.6
b21,-22.846,4.41
b21,-23.246,4.59
b22,-23.052,4.67
b23,-23.262,4.71
b24,-22.762,5.4
b25,-22.772,5.49
b26,-22.91,4.03
b26,-22.874,4.66
b26,-23.276,4.8
b26,-23.224,5
b27,-22.89,4.68
b27,-23.188,4.74
b28,-22.81,5.21
b28,-22.896,4.51
b28,-22.95,4.36
b28,-22.912,4.8
b28,-22.968,4.33
b28,-23.212,4.15
b28,-23.38,4.4
b29,-22.79,5.72
b30,-22.96,5.57
b31,-22.69,5.49
b31,-22.366,4.47
b31,-22.676,5.1
b31,-22.882,5.07
b31,-22.798,4.75
b31,-22.764,4.45
b32,-22.87,4.47
b32,-22.904,4.75
b33,-22.748,3.81
b33,-23.404,3.93
b34,-23.27,3.59
b35,-22.94,4.65
b36,-22.78,4.93
b37,-23.08,4.79
b38,-23.02,4.64
b39,-23.11,4.4
b40,-23.25,5.34
b41,-21.95,5.64
b42,-23.04,4.88
b43,-22.98,4.86
b44,-23.028,4.12
b44,-22.676,3.7
b45,-23.048,4.38
b45,-23.066,4.54
b45,-23.284,4.98
b46,-23.348,4.99
b47,-23.058,5.06
