bID,repro,yr,d13C,d15N
b1,2,5,-22.972,5.02
b2,2,5,-23.052,5.13
b2,2,6,-22.78,5.47
b3,2,5,-22.932,4.56
b4,3,5,-22.652,4.62
b4,3,7,-22.728,4.27
b4,3,9,-22.844,4.02
b4,3,11,-22.93,4.47
b4,3,13,-22.966,4.24
b4,1,14,-22.764,4.06
b5,4,5,-22.822,5.44
b6,4,5,-23.112,4.73
b7,4,5,-23.102,4.76
b8,4,5,-23.282,4.65
b9,4,5,-23.072,5.83
b10,4,5,-23.152,5.23
b10,1,7,-22.218,4.36
b10,1,8,-22.386,4.18
b10,3,11,-23.55,4.37
b10,3,13,-22.656,3.7
b11,4,5,-23.162,5.21
b12,2,5,-22.972,5.64
b12,2,6,-23.12,5.04
b12,2,7,-23.368,5.9
b12,2,9,-23.464,5.85
b12,2,11,-23.33,6.36
b12,2,12,-23.168,5.92
b12,2,14,-23.104,6.56
b13,2,5,-23.412,6.31
b13,2,6,-23.16,5.8
b13,2,7,-23.258,5.98
b13,2,13,-22.586,5.53
b13,2,14,-22.704,5.36
b13,2,15,-23.172,5.76
b13,2,16,-22.62,6.46
b14,4,5,-23.022,5.84
b14,2,6,-23.2,5.14
b15,4,5,-22.942,5.72
b15,1,8,-22.556,4.76
b15,1,8,-22.676,4.79
b16,2,5,-22.762,5.68
b17,4,5,-23.222,5.05
b18,4,5,-22.992,5.75
b18,1,8,-22.516,4.78
b18,3,10,-23.062,4.27
b18,3,12,-23.208,4.71
b19,4,5,-22.872,5.66
b20,4,5,-22.952,5.69
b21,4,5,-23.252,4.6
b21,1,8,-22.846,4.41
b21,1,8,-23.246,4.59
b22,4,5,-23.052,4.67
b23,4,5,-23.262,4.71
b24,4,5,-22.762,5.4
b25,4,5,-22.772,5.49
b26,2,6,-22.91,4.03
b26,2,9,-22.874,4.66
b26,2,13,-23.276,4.8
b26,2,14,-23.224,5
b27,2,6,-22.89,4.68
b27,2,7,-23.188,4.74
b28,4,6,-22.81,5.21
b28,1,8,-22.896,4.51
b28,3,11,-22.95,4.36
b28,3,15,-22.912,4.8
b28,3,17,-22.968,4.33
b28,3,19,-23.212,4.15
b28,3,20,-23.38,4.4
b29,4,6,-22.79,5.72
b30,4,6,-22.96,5.57
b31,4,6,-22.69,5.49
b31,1,8,-22.366,4.47
b31,1,8,-22.676,5.1
b31,1,10,-22.882,5.07
b31,3,12,-22.798,4.75
b31,3,14,-22.764,4.45
b32,2,6,-22.87,4.47
b32,2,14,-22.904,4.75
b33,3,7,-22.748,3.81
b33,3,9,-23.404,3.93
b34,2,6,-23.27,3.59
b35,2,6,-22.94,4.65
b36,4,6,-22.78,4.93
b37,4,6,-23.08,4.79
b38,4,6,-23.02,4.64
b39,4,6,-23.11,4.4
b40,4,6,-23.25,5.34
b41,4,6,-21.95,5.64
b42,4,6,-23.04,4.88
b43,4,6,-22.98,4.86
b44,1,7,-23.028,4.12
b44,1,8,-22.676,3.7
b45,2,7,-23.048,4.38
b45,2,8,-23.066,4.54
b45,2,9,-23.284,4.98
b46,2,7,-23.348,4.99
b47,4,7,-23.058,5.06
b48,4,7,-22.988,4.91
b49,4,7,-22.888,5.19
b50,4,7,-22.938,3.9
b50,1,9,-23.134,3.92
b50,1,10,-22.852,3.95
b51,4,7,-22.838,4.3
b51,1,9,-22.974,4.45
b51,1,10,-23.202,4.94
b51,3,12,-23.378,4.75
b52,4,7,-22.968,5.24
b52,2,15,-23.032,4.37
b53,4,7,-22.878,5.19
b54,4,7,-22.868,5.4
b54,1,10,-23.142,4.71
b54,1,11,-23.26,5.16
b54,1,12,-23.478,5.09
b54,4,7,-22.978,4.69
b55,4,7,-23.038,4.72
b56,4,7,-22.938,5.1
b56,4,7,-23.098,4.67
b57,4,7,-22.968,4.72
b57,1,9,-23.294,4.22
b57,1,10,-23.902,4.21
b57,1,11,-23.46,4.66
b57,1,13,-22.746,4.77
b57,3,16,-23.07,4.5
b57,3,18,-23.186,4.69
b58,4,7,-23.228,4.73
b58,1,10,-23.512,4.81
b58,1,15,-23.632,4.9
b58,3,16,-23.37,4.58
b59,4,7,-23.258,4.59
b60,4,7,-23.178,4.46
b60,1,10,-23.012,3.95
b61,4,7,-23.148,4.42
b61,2,10,-23.072,4.49
b62,4,7,-23.038,4.7
b63,2,7,-22.438,4.6
b64,2,7,-23.048,4.41
b65,2,7,-22.798,5.07
