Species,Group,d13C,d15N,PrctC,PrctN,Source3
Alces alces,Moose,-26.5,-0.38,44.86,14.33,AntMoose
Alces alces,Moose,-26.24,-0.14,43.78,14.4,AntMoose
Alces alces,Moose,-25.81,0.29,45.05,15.04,AntMoose
Alces alces,Moose,-26.88,0.55,45.66,12.99,AntMoose
Alces alces,Moose,-26.08,0.66,45.91,14.18,AntMoose
Alces alces,Moose,-25.86,0.92,45.22,14.83,AntMoose
Alces alces,Moose,-26.66,1.15,44.25,14.3,AntMoose
Alces alces,Moose,-26.63,1.2,45.2,14.79,AntMoose
Alces alces,Moose,-25.85,1.31,45.41,15.07,AntMoose
Alces alces,Moose,-26.57,1.34,43.82,14.06,AntMoose
Alces alces,Moose,-26.17,1.43,44.09,14.18,AntMoose
Alces alces,Moose,-37.32,1.96,42.81,13.07,AntMoose
Alces alces,Moose,-26.6,2.19,46.44,14.64,AntMoose
Alces alces,Moose,-26.61,2.33,44.16,13.51,AntMoose
Alces alces,Moose,-27.42,2.59,49.2,12.3,AntMoose
Alces alces,Moose,-26.52,2.67,44.23,13.91,AntMoose
Alces alces,Moose,-26.2,2.69,43.86,13.53,AntMoose
Alces alces,Moose,-27.53,2.84,44.84,14.24,AntMoose
Alces alces,Moose,-26.68,3.15,46.74,14.59,AntMoose
Alces alces,Moose,-25.98,3.26,42.45,13.99,AntMoose
Alces alces,Moose,-26.5,3.5,46.01,14.58,AntMoose
Alces alces,Moose,-26.73,4.18,46.35,14.91,AntMoose
Camponotus sp,Ants,-27.59,-1.38,45.18,6.59,AntMoose
Camponotus sp,Ants,-27.07,-0.12,45.2,8.88,AntMoose
Camponotus sp,Ants,-26.69,-0.02,46.41,10.18,AntMoose
Camponotus sp,Ants,-25.3,0.17,45.99,9.13,AntMoose
Camponotus sp,Ants,-25.76,0.34,44.03,7.36,AntMoose
Camponotus sp,Ants,-26.09,0.34,46.16,9.9,AntMoose
Camponotus sp,Ants,-25.55,0.36,46.1,10.05,AntMoose
Camponotus sp,Ants,-25.43,0.41,44.52,7.74,AntMoose
Camponotus sp,Ants,-25.64,0.48,46.04,9.57,AntMoose
Camponotus sp,Ants,-25.36,1.02,43.76,7.42,AntMoose
Camponotus sp,Ants,-25.46,1.07,45.91,10.69,AntMoose
Camponotus sp,Ants,-26.79,1.29,42.05,6.81,AntMoose
Camponotus sp,Ants,-26.96,1.3,48.79,10.88,AntMoose
Camponotus sp,Ants,-25.21,1.5,46.39,10.76,AntMoose
Camponotus sp,Ants,-25.3,1.58,46.25,10.89,AntMoose
Camponotus sp,Ants,-25.96,1.6,46.06,7.82,AntMoose
Camponotus sp,Ants,-26.21,1.67,44.03,9.28,AntMoose
Camponotus sp,Ants,-26.14,1.78,47.11,10.55,AntMoose
Camponotus sp,Ants,-25.75,1.83,44.56,8.97,AntMoose
