sampleID,BearID,pubname,year.sampled,year.represent,bearyear.sampled,bearyear.represent,sex,birth,age,reprostatus.represent,C13,N15,trophicpos,weight,headcirc,capturedate,Cmonth,cort.kit,cortisol
231,W0001,Korsu,2000,1999,W0001_2000,W0001_1999,M,1997,3,SolitaryM,-22.62,5.02,2.95,94,57,4/8/2000,4,1,2.08
232,W0002,Note,2000,1999,W0002_2000,W0002_1999,M,1994,6,SolitaryM,-22.7,5.13,2.98,130,67,4/8/2000,4,1,1.87
250/W0002,W0002,Note,2001,2000,W0002_2001,W0002_2000,M,1994,7,SolitaryM,-22.45,5.47,3.08,148,74,4/20/2001,4,1,1.54
233,W0003,Hammraberget,2000,1999,W0003_2000,W0003_1999,M,1997,3,SolitaryM,-22.58,4.56,2.81,63,48.5,4/8/2000,4,1,4.03
234,W0004,Öda,2000,1999,W0004_2000,W0004_1999,F,1994,6,WithCubs,-22.3,4.62,2.83,95,59,4/10/2000,4,1,3.43
280,W0004,Öda,2002,2001,W0004_2002,W0004_2001,F,1994,8,WithCubs,-22.42,4.27,2.73,86,60,4/22/2002,4,1,3.72
873,W0004,Öda,2004,2003,W0004_2004,W0004_2003,F,1994,10,WithCubs,-22.58,4.02,2.65,95,62,4/16/2004,4,2,6.34
450,W0004,Öda,2006,2005,W0004_2006,W0004_2005,F,1994,12,WithCubs,-22.71,4.47,2.79,95,64,5/2/2006,5,1,4.35
NA,W0004,Öda,2007,2006,W0004_2007,W0004_2006,F,1994,13,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
516,W0004,Öda,2008,2007,W0004_2008,W0004_2007,F,1994,14,WithCubs,-22.79,4.24,2.72,88,65,4/24/2008,4,1,3.25
731,W0004,Öda,2009,2008,W0004_2009,W0004_2008,F,1994,15,SolitaryF,-22.61,4.06,2.66,96,63,4/17/2009,4,2,11.02
235,W0005,Öda_k1:1,2000,1999,W0005_2000,W0005_1999,M,1999,1,WithMother,-22.47,5.44,3.07,45,46,4/10/2000,4,1,2.77
236,W0006,Sari_k2:1,2000,1999,W0006_2000,W0006_1999,M,1999,1,WithMother,-22.76,4.73,2.86,32,40,4/14/2000,4,1,3.73
237,W0007,Sari_k2:2,2000,1999,W0007_2000,W0007_1999,M,1999,1,WithMother,-22.75,4.76,2.87,38,43,4/14/2000,4,1,2.98
189,W0008,Vana,2000,1999,W0008_2000,W0008_1999,F,1999,1,WithMother,-22.93,4.65,2.84,32,40,4/14/2000,4,1,2.56
190,W0009,Binna_k1:1,2000,1999,W0009_2000,W0009_1999,M,1999,1,WithMother,-22.72,5.83,3.19,37,39.5,4/14/2000,4,1,2.19
200,W0010,Hirva,2000,1999,W0010_2000,W0010_1999,F,1999,1,WithMother,-22.8,5.23,3.01,30,38.5,4/15/2000,4,1,2.54
281,W0010,Hirva,2002,2001,W0010_2002,W0010_2001,F,1999,3,SolitaryF,-21.91,4.36,2.75,75,51,7/25/2002,7,1,2.4
359,W0010,Hirva,2003,2002,W0010_2003,W0010_2002,F,1999,4,SolitaryF,-22.1,4.18,2.7,117,57,9/22/2003,9,1,0.89
889,W0010,Hirva,2006,2005,W0010_2006,W0010_2005,F,1999,7,WithCubs,-23.33,4.37,2.76,83,60,4/19/2006,4,2,8.1
NA,W0010,Hirva,2007,2006,W0010_2007,W0010_2006,F,1999,8,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
517,W0010,Hirva,2008,2007,W0010_2008,W0010_2007,F,1999,9,WithCubs,-22.48,3.7,2.56,81,58,4/23/2008,4,1,3.24
NA,W0010,Hirva,2009,2008,W0010_2009,W0010_2008,F,1999,10,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W0010,Hirva,2010,2009,W0010_2010,W0010_2009,F,1999,11,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
201,W0011,Grivla_k1:2,2000,1999,W0011_2000,W0011_1999,M,1999,1,WithMother,-22.81,5.21,3,32,39,4/15/2000,4,1,2.19
202,W0012,Roudin,2000,1999,W0012_2000,W0012_1999,M,1991,9,SolitaryM,-22.62,5.64,3.13,233,77,4/15/2000,4,1,2.45
251/W0012,W0012,Roudin,2001,2000,W0012_2001,W0012_2000,M,1991,10,SolitaryM,-22.79,5.04,2.95,212,77,4/20/2001,4,1,1.69
282,W0012,Roudin,2002,2001,W0012_2002,W0012_2001,M,1991,11,SolitaryM,-23.06,5.9,3.21,195,76,6/17/2002,6,1,1.22
375,W0012,Roudin,2004,2003,W0012_2004,W0012_2003,M,1991,13,SolitaryM,-23.2,5.85,3.19,230,77,4/13/2004,4,1,3.95
451,W0012,Roudin,2006,2005,W0012_2006,W0012_2005,M,1991,15,SolitaryM,-23.11,6.36,3.34,224,80,4/19/2006,4,1,2.68
483,W0012,Roudin,2007,2006,W0012_2007,W0012_2006,M,1991,16,SolitaryM,-22.97,5.92,3.21,204,80,4/13/2007,4,1,1.62
NA,W0012,Roudin,2008,2007,W0012_2008,W0012_2007,M,1991,17,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
732,W0012,Roudin,2009,2008,W0012_2009,W0012_2008,M,1991,18,SolitaryM,-22.95,6.56,3.4,NA,82,5/14/2009,5,2,17.22
203,W0013,Surola,2000,1999,W0013_2000,W0013_1999,M,1995,5,SolitaryM,-23.06,6.31,3.33,173,65,4/16/2000,4,1,1.26
252/W0013,W0013,Surola,2001,2000,W0013_2001,W0013_2000,M,1995,6,SolitaryM,-22.83,5.8,3.18,167,68.5,4/9/2001,4,1,3.07
283,W0013,Surola,2002,2001,W0013_2002,W0013_2001,M,1995,7,SolitaryM,-22.95,5.98,3.23,208,71,4/11/2002,4,1,1.1
518,W0013,Surola,2008,2007,W0013_2008,W0013_2007,M,1995,13,SolitaryM,-22.41,5.53,3.1,215,77,4/14/2008,4,1,1.4
733,W0013,Surola,2009,2008,W0013_2009,W0013_2008,M,1995,14,SolitaryM,-22.55,5.36,3.05,228,72,4/24/2009,4,2,6.58
791,W0013,Surola,2010,2009,W0013_2010,W0013_2009,M,1995,15,SolitaryM,-23.04,5.76,3.16,188,76,4/9/2010,4,2,5.05
665,W0013,Surola,2011,2010,W0013_2011,W0013_2010,M,1995,16,SolitaryM,-22.51,6.46,3.37,225,76,4/28/2011,4,2,13.59
204,W0014,Täxås_k6:1,2000,1999,W0014_2000,W0014_1999,M,1999,1,WithMother,-22.67,5.84,3.19,42,45,4/16/2000,4,1,1.88
253/W0014,W0014,Täxås_k6:1,2001,2000,W0014_2001,W0014_2000,M,1999,2,SolitaryM,-22.87,5.14,2.98,68,54,4/12/2001,4,1,2.81
205,W0015,Tälla,2000,1999,W0015_2000,W0015_1999,F,1999,1,WithMother,-22.59,5.72,3.15,36,41.5,4/17/2000,4,1,1.82
333,W0015,Tälla,2003,2002,W0015_2003,W0015_2002,F,1999,4,SolitaryF,-22.27,4.76,2.87,138,NA,9/23/2003,9,1,1.54
360,W0015,Tälla,2003,2002,W0015_2003,W0015_2002,F,1999,4,SolitaryF,-22.39,4.79,2.88,138,NA,9/23/2003,9,1,1.95
206,W0016,Joka,2000,1999,W0016_2000,W0016_1999,M,1994,6,SolitaryM,-22.41,5.68,3.14,175,70,4/18/2000,4,1,1.51
207,W0017,Kataja,2000,1999,W0017_2000,W0017_1999,M,1999,1,WithMother,-22.87,5.05,2.96,30,38,4/27/2000,4,1,2.19
208,W0018,Tuva,2000,1999,W0018_2000,W0018_1999,F,1999,1,WithMother,-22.64,5.75,3.16,27,38,4/28/2000,4,1,2.32
334,W0018,Tuva,2003,2002,W0018_2003,W0018_2002,F,1999,4,SolitaryF,-22.23,4.78,2.88,88,58,4/24/2003,4,1,2.98
417,W0018,Tuva,2005,2004,W0018_2005,W0018_2004,F,1999,6,WithCubs,-22.82,4.27,2.73,82,58,4/17/2005,4,1,3.57
902,W0018,Tuva,2007,2006,W0018_2007,W0018_2006,F,1999,8,WithCubs,-23.01,4.71,2.86,97,63,4/17/2007,4,2,6.87
209,W0019,Leta,2000,1999,W0019_2000,W0019_1999,F,1999,1,WithMother,-22.52,5.66,3.14,24,37,4/28/2000,4,1,2.12
210,W0020,Spana,2000,1999,W0020_2000,W0020_1999,F,1999,1,WithMother,-22.6,5.69,3.14,24,36,4/28/2000,4,1,3.35
834,W0021,Tangå,2000,1999,W0021_2000,W0021_1999,F,1999,1,WithMother,-22.9,4.6,2.82,30,40,4/28/2000,4,2,7.45
335,W0021,Tangå,2003,2002,W0021_2003,W0021_2002,F,1999,4,SolitaryF,-22.56,4.41,2.77,117,NA,9/23/2003,9,1,4.16
361,W0021,Tangå,2003,2002,W0021_2003,W0021_2002,F,1999,4,SolitaryF,-22.96,4.59,2.82,117,NA,9/23/2003,9,1,2.07
835,W0022,Rensjö_k6:2,2000,1999,W0022_2000,W0022_1999,M,1999,1,WithMother,-22.7,4.67,2.84,30,39,4/28/2000,4,2,12.57
836,W0023,Rensjö_k6:3,2000,1999,W0023_2000,W0023_1999,M,1999,1,WithMother,-22.91,4.71,2.86,28,38,4/28/2000,4,2,5.7
211,W0024,Mossi_k5:1,2000,1999,W0024_2000,W0024_1999,M,1999,1,WithMother,-22.41,5.4,3.06,36,42,4/28/2000,4,1,2.63
212,W0025,Brinda,2000,1999,W0025_2000,W0025_1999,F,1999,1,WithMother,-22.42,5.49,3.09,52,54,8/21/2000,8,1,2.6
254/W0101,W0101,Härje,2001,2000,W0101_2001,W0101_2000,M,1998,3,SolitaryM,-22.58,4.03,2.66,81,59,4/9/2001,4,1,2.11
